source,target,formula
TABLA DE ACCESORIOS DESCARGA!G17,TABLA DE ACCESORIOS DESCARGA!K13,"=VLOOKUP(K13,DIAMETRO,4,FALSE)"
TABLA DE ACCESORIOS DESCARGA!I17,TABLA DE ACCESORIOS DESCARGA!D17,=((D17*F17)*($H$2^2)/(32.4*2))*H17
TABLA DE ACCESORIOS DESCARGA!I17,TABLA DE ACCESORIOS DESCARGA!F17,=((D17*F17)*($H$2^2)/(32.4*2))*H17
TABLA DE ACCESORIOS DESCARGA!I17,TABLA DE ACCESORIOS DESCARGA!H17,=((D17*F17)*($H$2^2)/(32.4*2))*H17
TABLA DE ACCESORIOS DESCARGA!I17,TABLA DE ACCESORIOS DESCARGA!H$2,=((D17*F17)*($H$2^2)/(32.4*2))*H17
TABLA DE ACCESORIOS DESCARGA!D18,TABLA DE ACCESORIOS DESCARGA!K14,"=VLOOKUP(K14,FRICCION,3,FALSE)"
TABLA DE ACCESORIOS DESCARGA!G18,TABLA DE ACCESORIOS DESCARGA!K14,"=VLOOKUP(K14,DIAMETRO,4,FALSE)"
TABLA DE ACCESORIOS DESCARGA!I18,TABLA DE ACCESORIOS DESCARGA!D18,=((D18*F18)*($H$2^2)/(32.4*2))*H18
TABLA DE ACCESORIOS DESCARGA!I18,TABLA DE ACCESORIOS DESCARGA!H18,=((D18*F18)*($H$2^2)/(32.4*2))*H18
TABLA DE ACCESORIOS DESCARGA!I18,TABLA DE ACCESORIOS DESCARGA!H$2,=((D18*F18)*($H$2^2)/(32.4*2))*H18
TABLA DE ACCESORIOS DESCARGA!I18,TABLA DE ACCESORIOS DESCARGA!F18,=((D18*F18)*($H$2^2)/(32.4*2))*H18
TABLA DE ACCESORIOS DESCARGA!D19,TABLA DE ACCESORIOS DESCARGA!K15,"=VLOOKUP(K15,FRICCION,3,FALSE)"
TABLA DE ACCESORIOS DESCARGA!G19,TABLA DE ACCESORIOS DESCARGA!K15,"=VLOOKUP(K15,DIAMETRO,4,FALSE)"
TABLA DE ACCESORIOS DESCARGA!I19,TABLA DE ACCESORIOS DESCARGA!H19,=((D19*F19)*($H$2^2)/(32.4*2))*H19
TABLA DE ACCESORIOS DESCARGA!I19,TABLA DE ACCESORIOS DESCARGA!H$2,=((D19*F19)*($H$2^2)/(32.4*2))*H19
TABLA DE ACCESORIOS DESCARGA!I19,TABLA DE ACCESORIOS DESCARGA!F19,=((D19*F19)*($H$2^2)/(32.4*2))*H19
TABLA DE ACCESORIOS DESCARGA!I19,TABLA DE ACCESORIOS DESCARGA!D19,=((D19*F19)*($H$2^2)/(32.4*2))*H19
TABLA DE ACCESORIOS DESCARGA!D20,TABLA DE ACCESORIOS DESCARGA!K16,"=VLOOKUP(K16,FRICCION,3,FALSE)"
TABLA DE ACCESORIOS DESCARGA!G20,TABLA DE ACCESORIOS DESCARGA!K16,"=VLOOKUP(K16,DIAMETRO,4,FALSE)"
TABLA DE ACCESORIOS DESCARGA!I20,TABLA DE ACCESORIOS DESCARGA!F20,=((D20*F20)*($H$2^2)/(32.4*2))*H20
TABLA DE ACCESORIOS DESCARGA!I20,TABLA DE ACCESORIOS DESCARGA!D20,=((D20*F20)*($H$2^2)/(32.4*2))*H20
TABLA DE ACCESORIOS DESCARGA!I20,TABLA DE ACCESORIOS DESCARGA!H20,=((D20*F20)*($H$2^2)/(32.4*2))*H20
TABLA DE ACCESORIOS DESCARGA!I20,TABLA DE ACCESORIOS DESCARGA!H$2,=((D20*F20)*($H$2^2)/(32.4*2))*H20
TABLA DE ACCESORIOS DESCARGA!D21,TABLA DE ACCESORIOS DESCARGA!K17,"=VLOOKUP(K17,FRICCION,3,FALSE)"
TABLA DE ACCESORIOS DESCARGA!G21,TABLA DE ACCESORIOS DESCARGA!K17,"=VLOOKUP(K17,DIAMETRO,4,FALSE)"
TABLA DE ACCESORIOS DESCARGA!I21,TABLA DE ACCESORIOS DESCARGA!H21,=((D21*F21)*($H$2^2)/(32.4*2))*H21
TABLA DE ACCESORIOS DESCARGA!I21,TABLA DE ACCESORIOS DESCARGA!F21,=((D21*F21)*($H$2^2)/(32.4*2))*H21
TABLA DE ACCESORIOS DESCARGA!I21,TABLA DE ACCESORIOS DESCARGA!H$2,=((D21*F21)*($H$2^2)/(32.4*2))*H21
TABLA DE ACCESORIOS DESCARGA!I21,TABLA DE ACCESORIOS DESCARGA!D21,=((D21*F21)*($H$2^2)/(32.4*2))*H21
TABLA DE ACCESORIOS DESCARGA!D22,TABLA DE ACCESORIOS DESCARGA!K18,"=VLOOKUP(K18,FRICCION,3,FALSE)"
TABLA DE ACCESORIOS DESCARGA!G22,TABLA DE ACCESORIOS DESCARGA!K18,"=VLOOKUP(K18,DIAMETRO,4,FALSE)"
TABLA DE ACCESORIOS DESCARGA!I22,TABLA DE ACCESORIOS DESCARGA!F22,=((D22*F22)*($H$2^2)/(32.4*2))*H22
TABLA DE ACCESORIOS DESCARGA!I22,TABLA DE ACCESORIOS DESCARGA!H$2,=((D22*F22)*($H$2^2)/(32.4*2))*H22
TABLA DE ACCESORIOS DESCARGA!I22,TABLA DE ACCESORIOS DESCARGA!D22,=((D22*F22)*($H$2^2)/(32.4*2))*H22
