sheet,cell,value,data_type,number_format,is_formula
TABLA DE ACCESORIOS DESCARGA,AF17,0,n,General,False
TABLA DE ACCESORIOS DESCARGA,AG17,0,n,General,False
TABLA DE ACCESORIOS DESCARGA,AJ17,1,n,General,False
TABLA DE ACCESORIOS DESCARGA,B18,8,n,0,False
TABLA DE ACCESORIOS DESCARGA,F18,90,n,0,False
TABLA DE ACCESORIOS DESCARGA,H18,0,n,0,False
TABLA DE ACCESORIOS DESCARGA,K18,1,n,General,False
TABLA DE ACCESORIOS DESCARGA,N18,0,n,General,False
TABLA DE ACCESORIOS DESCARGA,O18,0,n,General,False
TABLA DE ACCESORIOS DESCARGA,R18,0,n,General,False
TABLA DE ACCESORIOS DESCARGA,S18,0,n,General,False
TABLA DE ACCESORIOS DESCARGA,X18,0,n,General,False
TABLA DE ACCESORIOS DESCARGA,Y18,0,n,General,False
TABLA DE ACCESORIOS DESCARGA,AB18,0,n,General,False
TABLA DE ACCESORIOS DESCARGA,AC18,0,n,General,False
TABLA DE ACCESORIOS DESCARGA,AF18,0,n,General,False
TABLA DE ACCESORIOS DESCARGA,AG18,0,n,General,False
TABLA DE ACCESORIOS DESCARGA,AJ18,1,n,General,False
TABLA DE ACCESORIOS DESCARGA,B19,9,n,0,False
TABLA DE ACCESORIOS DESCARGA,F19,75,n,0,False
TABLA DE ACCESORIOS DESCARGA,H19,0,n,0,False
TABLA DE ACCESORIOS DESCARGA,K19,1,n,General,False
TABLA DE ACCESORIOS DESCARGA,N19,0,n,General,False
TABLA DE ACCESORIOS DESCARGA,O19,0,n,General,False
TABLA DE ACCESORIOS DESCARGA,R19,0,n,General,False
TABLA DE ACCESORIOS DESCARGA,S19,0,n,General,False
TABLA DE ACCESORIOS DESCARGA,X19,0,n,General,False
TABLA DE ACCESORIOS DESCARGA,Y19,0,n,General,False
TABLA DE ACCESORIOS DESCARGA,AB19,0,n,General,False
TABLA DE ACCESORIOS DESCARGA,AC19,0,n,General,False
TABLA DE ACCESORIOS DESCARGA,AF19,0,n,General,False
TABLA DE ACCESORIOS DESCARGA,AG19,0,n,General,False
TABLA DE ACCESORIOS DESCARGA,AJ19,1,n,General,False
TABLA DE ACCESORIOS DESCARGA,B20,10,n,0,False
TABLA DE ACCESORIOS DESCARGA,F20,420,n,0,False
TABLA DE ACCESORIOS DESCARGA,H20,0,n,0,False
TABLA DE ACCESORIOS DESCARGA,K20,11,n,General,False
TABLA DE ACCESORIOS DESCARGA,N20,0,n,General,False
TABLA DE ACCESORIOS DESCARGA,O20,0,n,General,False
TABLA DE ACCESORIOS DESCARGA,R20,0,n,General,False
TABLA DE ACCESORIOS DESCARGA,S20,0,n,General,False
TABLA DE ACCESORIOS DESCARGA,X20,0,n,General,False
TABLA DE ACCESORIOS DESCARGA,Y20,0,n,General,False
TABLA DE ACCESORIOS DESCARGA,AB20,0,n,General,False
TABLA DE ACCESORIOS DESCARGA,AC20,0,n,General,False
TABLA DE ACCESORIOS DESCARGA,AF20,0,n,General,False
TABLA DE ACCESORIOS DESCARGA,AG20,0,n,General,False
TABLA DE ACCESORIOS DESCARGA,AJ20,1,n,General,False
TABLA DE ACCESORIOS DESCARGA,B21,11,n,0,False
TABLA DE ACCESORIOS DESCARGA,F21,5.5,n,0,False
TABLA DE ACCESORIOS DESCARGA,H21,0,n,0,False
TABLA DE ACCESORIOS DESCARGA,K21,15,n,General,False
TABLA DE ACCESORIOS DESCARGA,N21,0,n,General,False
TABLA DE ACCESORIOS DESCARGA,O21,0,n,General,False
TABLA DE ACCESORIOS DESCARGA,R21,0,n,General,False
TABLA DE ACCESORIOS DESCARGA,S21,0,n,General,False
TABLA DE ACCESORIOS DESCARGA,X21,0,n,General,False
